countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,workers,gdp_per_worker
ESP,Spain,Euro,2005,1.1697199e6,1.1401552e6,43.395441,19.197931,1685.83,2.877698,1.1697199e6,1.1401552e6,3.9437132e6,0.8507877,1.14015525e6,3.9437132e6,1.0,0.64831716,0.8041200000000001,0.9667263,0.9917938,1,1,0,0,0.784861715378657,,0.6151127,0.3039433,0.16092047,0.22364523,-0.3365563,0.032934487,0.9314092324732545,0.9638027273213772,1.1072463087378521,0.75609946,0.7547331,1.0653453,0.0075680004,15.26143201108092,74708.27437242871
FIN,Finland,Euro,2005,156941.3,162631.11,5.244342,2.3987598,1715.8,2.8872929,156941.3,162631.11,596588.44,0.9021269,162631.109375,596588.44,1.0,0.60385925,0.8041200000000001,1.2474599,1.2038164,1,1,0,0,0.8841146343648407,,0.49297675,0.2519688,0.18057393,0.54645854,-0.47834608,0.006368,1.2578913725225653,1.0437555141031918,1.5032262385948065,0.73407745,0.7516335,1.1733967,0.003767489,2.0774975952826735,78282.21305491893
FRA,France,Euro,2005,1.8247598e6,1.829597e6,62.836437999999994,26.294878,1495.07,2.909541,1.8247598e6,1.829597e6,6.14187e6,0.94455093,1.829597e6,6.14187e6,1.0,0.62648696,0.8041200000000001,1.1708694,1.1677738,1,1,0,0,0.9051212232756887,,0.60211635,0.2165866,0.18496875,0.31420508,-0.33096966,0.0130928755,1.1036788479408652,1.0767235617945192,1.4998292612150697,0.7555708,0.78583765,1.226521,0.0051519168,23.47022916406047,77953.94698581078
GBR,United Kingdom,Pound Sterling,2005,1.9571541e6,1.9306335e6,60.202726999999996,28.642519,1676.41,2.758831,1.9571541e6,1.9306335e6,4.3383455e6,1.1083428,1.9306335e6,4.3383455e6,1.0,0.6327443,0.5499983333333334,1.1730518,1.1891658,1,1,0,0,0.8284102808854447,,0.68535656,0.18236811,0.17446345,0.26924986,-0.34061342,0.029175455,1.121190436135495,1.1047851116395042,1.4481424348502563,0.7394154,0.78434044,1.2950149,0.022526342,22.1097939066205,87320.28476402469
GRC,Greece,Euro,2005,264613.03,254762.12,11.183114,4.874368,2095.02,2.9112482,264613.03,254762.12,801860.6,0.817335,254762.11477386655,801860.6,1.0,0.5240059,0.8041200000000001,0.90727097,0.9423524,1,1,0,0,0.7496551003749821,,0.7306129,0.23292316,0.17162189,0.09933022,-0.2976212,0.06313308,0.900131451021194,0.8659845527877104,0.9936976062610388,0.68895674,0.723978,0.88029015,0.013342828,5.323096396659851,47859.76169055641
GTM,Guatemala,Quetzal,2005,46990.61,47278.402,12.717153999999999,4.0174675,,1.7071961,46990.61,47278.402,76907.96,0.6643697,47278.401017772136,76907.96,1.0,0.44526446,7.633944166666667,0.57907784,0.5755529,0,1,0,0,,78.88888888888889,0.8903436,0.09206054,0.16993125,0.17050946,-0.35156274,0.028717853,0.5670906069080741,1.2338667197036413,0.28715104513888295,0.6674778,0.6316908,0.8489309,0.07600165,7.054657308541059,6701.729123895237
HKG,Hong Kong,Hong Kong Dollar,2005,225745.8,256070.08,6.809858999999999,3.2936382,2410.34,2.9043486,225745.8,256070.08,850512.1,1.0067384,256070.078125,850512.1,1.0,0.50795656,7.777333333333333,0.7874863,0.6942307,1,1,0,0,0.716809845740726,,0.47686324,0.24450342,0.050660647,1.6005703,-1.5420966,0.16949894,0.8475746476857768,0.5840752884269644,1.2036039214367884,0.71273184,0.7601204,0.56920713,1.12783695e-7,3.3507464181316493,76421.80164376114
HND,Honduras,Lempira,2005,19014.246,20153.469,6.879243,2.5434952,,2.2498088,19014.246,20153.469,47992.23,0.33128577,20153.46932197945,47992.23,1.0,0.59037334,18.83234166666667,0.5131452,0.4841385,0,1,0,0,,63.333333333333336,0.79865617,0.14422703,0.17492425,0.09954253,-0.3528444,0.13549438,0.45665556145364067,0.9272073371541935,0.4296623583124792,0.6452357,0.62147933,0.54720366,0.09515912,2.8179213522067665,7151.8918490104215
HUN,Hungary,Forint,2005,166440.22,161359.97,10.086936,4.1863656,1992.1,3.2453027,166440.22,161359.97,457049.88,0.64713514,161359.96142154658,457049.88,1.0,0.6196299,199.5825,0.6628309,0.68369937,1,1,0,0,0.7951692254681145,84.44444444444444,0.581335,0.21431297,0.25756842,0.61738414,-0.6706006,4.5416805e-8,0.6463523476857485,0.7827441888825563,0.6002477419185338,0.7303071,0.6938333,0.8109317,0.022310609,3.836768658026218,42056.215303064375
IDN,Indonesia,Rupiah,2005,756299.9,724812.06,227.30317499999998,94.481636,,1.9793954,756299.9,724812.06,2.238526e6,0.36378473,724812.0321936999,2.238526e6,1.0,0.44149095,9704.741666666667,0.37798318,0.39440382,1,1,0,0,0.4994330060561947,84.44444444444444,0.628021,0.24186133,0.14803159,0.18117557,-0.12575161,-0.07333796,0.40420318196551197,0.4090030749374771,0.21606336796674136,0.65230805,0.633058,0.3383298,0.19056717,126.95088074032812,5709.389791336446
