countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,QMPK,VMPK,log_QMPK,log_VMPK,log_phi,log_Y_div_K,log_PY_div_PK,open
AUS,australia,Australian Dollar,1983,314046.5,330875.75,15.33279,6.294256,1789.65,3.2570534,319280.44,319986.16,1.0296315e6,0.91611,339277.9606412644,1.158232e6,0.8416032,0.73043674,1.110014999166667,0.6031415,0.60181123,0,0,0,0,,,0.59356153,0.2848627,0.12914486,0.14045714,-0.13325615,-0.014770094,0.5719813859683405,0.55688749842564,0.8483811588197955,0.44727862,0.44898576,0.6410854,0.030194115,0.076922126,0.07220972,-2.5649617,-2.6281805,-1.4297484,-1.1352134,-0.06321881,1.0
AUS,australia,Australian Dollar,1984,326956.66,343928.6,15.567927,6.518254,1805.11,3.257075,330786.62,332290.7,1.0433053e6,0.8906928,356455.617357808,1.2024852e6,0.8532372,0.72562695,1.139519165916667,0.62466294,0.6218355,0,1,0,0,,,0.5764945,0.3009059,0.13043952,0.15062393,-0.14394498,-0.0145188905,0.5935895368325548,0.5670866102533945,0.8948165167449593,0.46219385,0.4745832,0.6739421,0.032391552,0.0797699,0.0736024,-2.528609,-2.6090777,-1.4188939,-1.1097151,-0.08046865,1.0
AUS,australia,Australian Dollar,1985,336512.56,355704.97,15.812088,6.750588,1795.45,3.2570968,343307.25,344941.53,1.0722868e6,0.8785032,372806.87927821965,1.2495616e6,0.86085594,0.72196156,1.4318949995,0.5292303,0.5267229,1,1,0,0,0.9212862384972262,,0.5880363,0.30653173,0.13261108,0.14565971,-0.14292628,-0.02991251,0.5038029626399918,0.48221238250733467,0.7506648303289992,0.45310864,0.4697209,0.5910365,0.039860696,0.07900965,0.070412226,-2.5381854,-2.6533883,-1.434738,-1.1034472,-0.11520313,1.0
AUS,australia,Australian Dollar,1986,343363.3,370753.66,16.066496,7.046725,1779.02,3.259852,350300.3,353124.25,1.1272545e6,0.854505,382573.47792991,1.2934624e6,0.84779376,0.7095488,1.495974166416667,0.54486847,0.5405112,2,1,0,0,,,0.58798254,0.2903127,0.13860743,0.12721683,-0.12934095,-0.014778542,0.5205008461161165,0.5033321017795771,0.7352357064158654,0.5003769,0.53529423,0.6042425,0.027305745,0.08654846,0.07741993,-2.4470508,-2.558511,-1.3350482,-1.1120025,-0.111460306,1.0
AUS,australia,Australian Dollar,1987,370375.03,399721.5,16.330369,7.213516,1795.45,3.2626092,377707.16,380913.34,1.1821304e6,0.8891547,404186.5406095097,1.3422474e6,0.87089795,0.6913421,1.42818,0.6017087,0.59664404,2,1,0,0,,,0.5640091,0.29966554,0.13714641,0.12673572,-0.120125376,-0.007431384,0.5833102014378198,0.5549193200064193,0.7796067652841675,0.5486462,0.5882011,0.6659502,0.026340099,0.095461965,0.08552714,-2.3490274,-2.4589217,-1.264722,-1.0843054,-0.1098942,1.0
AUS,australia,Australian Dollar,1988,397921.06,424540.3,16.596096,7.486357,1814.78,3.2653692,404052.78,405140.3,1.2549799e6,0.8913106,420000.33049457456,1.3989681e6,0.8703366,0.6929359,1.279908333333333,0.7117445,0.70983386,2,1,0,0,,,0.55743575,0.31334883,0.13647771,0.13250045,-0.1326419,-0.007120849,0.6925312720738617,0.6647581016014956,0.898098893620249,0.5999372,0.6145629,0.79520947,0.031941716,0.09306966,0.083077475,-2.374407,-2.4879816,-1.2905391,-1.0838679,-0.113574594,1.0
AUS,australia,Australian Dollar,1989,414879.5,438441.88,16.85369,7.799517,1809.95,3.2681313,418062.1,418525.84,1.3180679e6,0.8706442,435045.1316342311,1.4526056e6,0.86586016,0.6052806,1.264596666666667,0.76547444,0.7646263,2,1,0,0,,,0.5665546,0.3025029,0.13919912,0.1405275,-0.15215279,0.0033686387,0.7437379271819232,0.726093984024264,0.9395247838449035,0.60803896,0.62562346,0.8530771,0.025877351,0.122691564,0.10997036,-2.0980816,-2.2075443,-0.99738675,-1.1006949,-0.10946272,1.0
AUS,australia,Australian Dollar,1990,411220.53,435882.88,17.096152999999997,7.9240603,1806.08,3.2708957,412046.03,414718.78,1.3685304e6,0.8372655,433539.32676524884,1.4913391e6,0.84539837,0.6135172,1.281056666666667,0.78730816,0.78223413,2,1,0,0,,,0.60003877,0.24702893,0.139607,0.14532918,-0.13847128,0.0064674057,0.7461615155263369,0.7607372968894638,1.0111747745280486,0.64345115,0.67273253,0.85421294,0.029584667,0.11367359,0.10409508,-2.1744242,-2.2624507,-1.030305,-1.1441191,-0.08802643,1.0
AUS,australia,Australian Dollar,1991,412705.47,438040.22,17.320633,7.7266755,1795.45,3.2744372,412783.9,414847.3,1.3983569e6,0.8424025,435364.33450968354,1.523709e6,0.8543807,0.60716575,1.283755833333333,0.7987583,0.7947853,2,1,0,0,,,0.6152053,0.23378918,0.14623615,0.14931272,-0.1372822,-0.0072611608,0.7625550614742369,0.7511923730188012,1.0271069941306075,0.6584019,0.6752521,0.84499425,0.026804907,0.11465998,0.10784697,-2.1657841,-2.227042,-1.0050417,-1.1607424,-0.061257802,1.0
AUS,australia,Australian Dollar,1992,429406.16,457951.72,17.529469,7.684468,1787.72,3.2779822,427768.38,440004.53,1.4367189e6,0.8620747,453198.06037735473,1.560825e6,0.8832652,0.59930265,1.361648333333333,0.76277906,0.7415668,2,1,0,0,,,0.58482164,0.24910858,0.14372884,0.1686298,-0.13612637,-0.010162514,0.7405967370667421,0.6957644467255417,0.9691860122959104,0.5671167,0.6778086,0.79744834,0.027107267,0.119081214,0.11073654,-2.1279495,-2.2006013,-0.98459613,-1.1433535,-0.072651826,1.0
NZL,new zealand,New Zealand Dollar,1970,39919.64,39940.54,2.819597,1.381715,1844.18,3.2101045,39259.41,39222.004,92717.664,0.6984696,42878.87012356999,83374.914,0.8872985,0.5813133,0.892856999892857,0.16573675,0.16589482,0,0,0,0,,,0.6376041,0.2195177,0.17772634,0.19323479,-0.19587018,-0.032212812,0.16728162900539192,0.1776942698713032,0.1454250636523759,0.16187909,0.16109799,0.22150639,0.018121976,0.17255363,0.12923218,-1.7570472,-2.0461447,-0.91488,-0.8421672,-0.28909746,0.0
